method_a,method_b,ARI,NMI
greedy_mod,label_prop_best,0.6888327484888553,0.7915781030433605
greedy_mod,louvain,0.5844428592285517,0.7851869959995167
label_prop_best,louvain,0.7038752590998562,0.8275254768017476
