node,community
"('user', 'curricu1973')",0
"('user', 'imaria84197')",0
"('user', 'jfsj1964')",0
"('user', 'wangtunfrito')",0
"('user', 'laranarene7933')",0
"('topic', '#psoecorrupción')",0
"('user', 'k2maskedos')",0
"('topic', '#alert')",0
"('user', 'maraojiplatica')",0
"('user', 'betaniatv')",0
"('user', 'lydiapanter')",0
"('user', 'angelessanrroma')",0
"('topic', '#pucherazo')",0
"('user', 'corajeespana')",0
"('user', 'maiteluna73')",0
"('user', 'guillermorocaf1')",0
"('topic', '#exclusive')",0
"('user', 'bok3ron84')",0
"('topic', '#sánchezcorrupción')",0
"('user', 'antonioruizalb1')",0
"('user', 'obnibium')",0
"('user', 'el_as_del_legon')",0
"('user', 'diazperez51914')",0
"('user', 'antonio52021598')",0
"('user', 'manuel_palao_l')",0
"('topic', '#vivaespaña')",0
"('user', 'anamkra')",0
"('user', 'laquefaltaba10')",0
"('user', 'jaeg1970')",0
"('topic', 'pucherazo')",0
"('user', 'algabahd')",0
"('user', 'yowah2i')",0
"('topic', '#vivavox')",0
"('user', 'tadeoeus')",0
"('user', 'urkyland')",0
"('user', 'lolaandaluza')",0
"('user', 'baneadomike')",0
"('user', 'jav646')",0
"('user', 'odiadoratodo')",1
"('user', '8qhpq5cyxg')",1
"('user', 'juanjodemocrata')",1
"('user', 'elsisifofeliz')",1
"('topic', 'fraude electoral')",1
"('user', 'aniscartujopapi')",1
"('user', 'jorgehi19425539')",1
"('user', 'samv1543906')",1
"('user', 'andvilla1')",1
"('user', 'boira__')",1
"('user', 'jobemofa')",1
"('user', 'angelh49')",1
"('user', 'danidani34205')",1
"('user', 'franxuh_')",1
"('user', 'ferdiazdiaz2000')",1
"('user', 'hernand09064134')",1
"('user', 'despistao84')",1
"('user', 'quotesforgoal')",2
"('user', 'fereze')",2
"('user', 'ineslorenzo')",2
"('user', 'federicograu4')",2
"('topic', 'fraude')",2
"('user', 'verew13')",2
"('user', 'ferna1_diez')",2
"('user', 'fabril')",2
"('user', 'tugonews')",2
"('user', 'diglossos')",2
"('user', 'rerumnovarumxiv')",2
"('user', 'mazito95')",2
"('user', 'gary_garcia_lc')",2
"('user', 'lagrima75')",2
"('user', 'donabrahan3')",2
"('user', 'marccbg')",2
"('user', 'anto05466940')",3
"('user', 'sofia67926381')",3
"('topic', '#proof')",3
"('topic', '#rigging')",3
"('topic', '#urgent')",3
"('user', 'filomatick')",3
"('topic', '#pucherazoindra')",3
"('user', 'lletrosergi')",3
"('user', 'bodeloncelia')",3
"('user', 'andesspo')",4
"('user', 'tthoro_veloz')",4
"('user', 'generalwolf821')",4
"('candidate', 'kast')",4
"('candidate', 'parisi')",4
"('user', 'nakamonosatoshi')",4
"('user', 'capri9015')",4
"('candidate', 'franco parisi')",4
"('user', 'pedrovalen53941')",4
