method,n_communities,modularity,coverage,performance,conductance_mean,conductance_min
greedy_mod,5.0,0.5367588607768428,0.8324607329842932,0.7941777323799796,0.19025583566760035,0.08571428571428572
label_prop_best,7.0,0.4988898330637866,0.8848167539267016,0.7339121552604698,0.2719434809496921,0.06832298136645963
louvain,5.0,0.5277952906992681,0.8481675392670157,0.7706843718079673,0.18373271889400924,0.08571428571428572
leiden,,,,,,
