tweet_id,nodes,edges,density
1.9780143416275277e+18,13,13,0.08333333333333333
1.9794970916101084e+18,12,12,0.09090909090909091
1.9799208809867103e+18,9,8,0.1111111111111111
1.979522438124733e+18,7,6,0.14285714285714285
1.9763181795060326e+18,6,5,0.16666666666666666
1.9774255148611464e+18,6,5,0.16666666666666666
1.9787864610645896e+18,4,4,0.3333333333333333
1.9799927055653727e+18,4,3,0.25
1.97874998119329e+18,3,2,0.3333333333333333
1.979320158431908e+18,3,2,0.3333333333333333
1.979217185986765e+18,3,2,0.3333333333333333
1.979843115704779e+18,3,2,0.3333333333333333
1.9796782823093947e+18,2,1,0.5
1.977731127814005e+18,2,1,0.5
1.9798482001995533e+18,2,1,0.5
1.979498720052814e+18,2,1,0.5
1.9790884894518477e+18,2,1,0.5
1.9771180051561024e+18,2,1,0.5
1.9789905683959729e+18,2,1,0.5
1.9778060146876787e+18,2,1,0.5
nan,2,1,0.5
1.9768549023969283e+18,1,0,0.0
1.978728869826806e+18,1,0,0.0
1.9791425240956603e+18,1,0,0.0
