handle,name,posts,first_seen,last_seen,links_ratio,median_gap_min,digits_suffix_len,has_long_digits,burst10_max_posts,domain_variety,reply_bot_score_mean,score_proxy,reasons,is_suspect
fabril,Latronizio,1,2025-10-19 21:59:02+00:00,2025-10-19 21:59:02+00:00,0.0,0.0,0,False,0,0,0.0,1.5,zero_median_gap,False
federicograu4,Federico Grau,1,2025-10-19 17:39:46+00:00,2025-10-19 17:39:46+00:00,0.0,0.0,1,False,0,0,0.2,1.5,zero_median_gap,False
el_as_del_legon,Jolín,1,2025-10-14 18:32:33+00:00,2025-10-14 18:32:33+00:00,0.0,0.0,0,False,0,0,0.0,1.5,zero_median_gap,False
elsisifofeliz,tortuga,1,2025-10-19 11:53:23+00:00,2025-10-19 11:53:23+00:00,0.0,0.0,0,False,0,0,0.0,1.5,zero_median_gap,False
gary_garcia_lc,Gary,1,2025-10-18 15:45:20+00:00,2025-10-18 15:45:20+00:00,0.0,0.0,0,False,0,0,0.0,1.5,zero_median_gap,False
ferdiazdiaz2000,Fer Díaz Díaz,1,2025-10-10 15:03:12+00:00,2025-10-10 15:03:12+00:00,0.0,0.0,4,False,0,0,0.2,1.5,zero_median_gap,False
filomatick,Antonio Lopez Peñalver,1,2025-10-19 22:42:15+00:00,2025-10-19 22:42:15+00:00,0.0,0.0,0,False,0,0,0.0,1.5,zero_median_gap,False
franxuh_,franxuh,1,2025-10-18 12:18:21+00:00,2025-10-18 12:18:21+00:00,0.0,0.0,0,False,0,0,0.0,1.5,zero_median_gap,False
curricu1973,Corcu,1,2025-10-19 17:01:34+00:00,2025-10-19 17:01:34+00:00,0.0,0.0,4,False,0,0,0.2,1.5,zero_median_gap,False
corajeespana,Coraje España,1,2025-10-14 10:54:48+00:00,2025-10-14 10:54:48+00:00,0.0,0.0,0,False,0,0,0.0,1.5,zero_median_gap,False
antonioruizalb1,AralbaR+C,1,2025-10-19 21:38:57+00:00,2025-10-19 21:38:57+00:00,0.0,0.0,1,False,0,0,0.2,1.5,zero_median_gap,False
atlanticsurff,Diego Álzaga Unzué,1,2025-10-17 11:08:43+00:00,2025-10-17 11:08:43+00:00,0.0,0.0,0,False,0,0,0.0,1.5,zero_median_gap,False
salvamekofrade8,Radio Patio,1,2025-10-17 10:14:51+00:00,2025-10-17 10:14:51+00:00,1.0,0.0,1,False,0,1,0.2,1.5,zero_median_gap,False
rerumnovarumxiv,Rerum Novarum,1,2025-10-19 21:17:27+00:00,2025-10-19 21:17:27+00:00,1.0,0.0,0,False,0,1,0.0,1.5,zero_median_gap,False
manuel_palao_l,Manuel Palao,1,2025-10-19 09:00:26+00:00,2025-10-19 09:00:26+00:00,0.0,0.0,0,False,0,0,0.0,1.5,zero_median_gap,False
mazito95,Maxi,1,2025-10-19 18:31:26+00:00,2025-10-19 18:31:26+00:00,0.0,0.0,2,False,0,0,0.2,1.5,zero_median_gap,False
jobemofa,jose bernardo mora,1,2025-10-11 03:37:31+00:00,2025-10-11 03:37:31+00:00,0.0,0.0,0,False,0,0,0.0,1.5,zero_median_gap,False
